claim_id,candidate_wording,claim_class,manuscript_section,theory_or_empirical,evidence_stage,inference_tier,source_files,source_fields,assumptions,scope,status,review_status,prior_art_status,allowed_wording,prohibited_wording,figure_or_table,appendix_dependency
C-E1-SCALE,The scale-controlled Hamiltonian contract preserves all task ground states and reduces within-graph scale drift.,MECHANISM,Experimental design,EMPIRICAL,Phase0v2,MECHANISTIC,results/phase0_v2_dilution_stress/HAMILTONIAN_SCALE_AUDIT.md;results/phase0_v2_dilution_stress/hamiltonian_scale_audit.csv,ground-state checks;span ratios,Audit only; no optimization,140 tasks,SUPPORTED,SECOND_PASS_MACHINE_AUDIT,NOT_APPLICABLE,All 140 controlled ground states are correct under the frozen contract.,Scale control removes every confound.,F5;T1,protocols
C-E2-PILOT,The initial Penalty-X depth pilot showed partial compensation and a p=3 anomaly.,EMPIRICAL_DISCOVERY,Discovery diagnostics,EMPIRICAL,Phase1 pilot,EXPLORATORY,results/phase1_pilot_v1/pilot_summary.json,main_numerical_ranges;dilution_response,56 tasks; 10 graphs,Exploratory,DESCRIPTIVE_ONLY,SECOND_PASS_MACHINE_AUDIT,NOT_APPLICABLE,The pilot motivated optimizer attribution.,Depth three is intrinsically worse.,F5,additional_results
C-E3-OPT,"Continuation diagnostics attribute much of the original p=3 anomaly to optimization failure, while objective and feasibility remain misaligned.",MECHANISM,Discovery diagnostics,EMPIRICAL,Phase1.1,MECHANISTIC,results/phase1_1_optimization_diagnostic/summary.json;results/phase1_1_optimization_diagnostic/nested_ansatz_identity.csv,continuation;identity;objective comparison,Frozen pilot tasks,Mechanistic,SUPPORTED_WITH_SCOPE_LIMITS,SECOND_PASS_MACHINE_AUDIT,NOT_APPLICABLE,Continuation repaired the identified original failure set; lower energy did not uniformly mean higher feasibility.,Classical optimization explains all dilution.,F5;T2,additional_results
C-E4-OBJDISC,Exploratory objective attribution identified an O2 capacity gap and selected O3 CVaR for held-out testing.,EMPIRICAL_DISCOVERY,Objective attribution,EMPIRICAL,Phase1.2,EXPLORATORY,results/phase1_2_objective_alignment/summary.json,capacity_gaps;paired_comparisons,Same 56 discovery tasks,No confirmatory pooling,SUPPORTED_WITH_SCOPE_LIMITS,SECOND_PASS_MACHINE_AUDIT,CLEARLY_PREEXISTING_CVAR,O2 is a mechanistic ceiling; O3 nearly closed its discovery gap.,CVaR was invented here or O2 is deployable.,F5,additional_results
C-E5-H1,"On preregistered held-out graphs, O3 CVaR improved dilution compensation over O0 mean-energy optimization.",HELDOUT_CONFIRMATION,Held-out results,EMPIRICAL,Phase2,PREREGISTERED_HELDOUT,results/phase2_confirmatory_v1/confirmatory_statistics.json,H1,15 graph-level units; 84 tasks; Holm control,Penalty-X p=3 statevector,SUPPORTED_WITH_SCOPE_LIMITS,SECOND_PASS_MACHINE_AUDIT,CVAR_PREEXISTS_APPLICATION,Graph-level mean improvement was 0.3547 decades with preregistered inference.,CVaR generally beats QAOA objectives.,F6;T3,protocols
C-E5-H2,Held-out O3 CVaR was noninferior to the exact-feasibility O2 capacity objective at the preregistered margin.,HELDOUT_CONFIRMATION,Held-out results,EMPIRICAL,Phase2,PREREGISTERED_HELDOUT,results/phase2_confirmatory_v1/confirmatory_statistics.json,H2,15 graph-level units; margin -0.10; Holm control,O2 mechanistic ceiling,SUPPORTED_WITH_SCOPE_LIMITS,SECOND_PASS_MACHINE_AUDIT,CVAR_PREEXISTS_APPLICATION,The lower confidence bound exceeded the preregistered noninferiority margin.,O3 is equivalent to O2 for all tasks.,F6;T3,protocols
C-E5-POPT,Held-out CVaR gains in feasible entry generally did not sacrifice optimal-route concentration.,MECHANISM,Held-out results,EMPIRICAL,Phase2,HELDOUT_SECONDARY,results/phase2_confirmatory_v1/summary.json;results/phase2_confirmatory_v1/task_level_contrasts.csv,routing_quality,Secondary outcomes,Same held-out family,SUPPORTED_WITH_SCOPE_LIMITS,SECOND_PASS_MACHINE_AUDIT,NOT_APPLICABLE,O3 increased both P_feas and P_opt on 79 of 84 held-out tasks.,CVaR always improves route quality.,F7;T4,additional_results
C-E5-TAIL,Held-out tail audits support the mechanism that CVaR used energy information beyond binary membership.,MECHANISM,Held-out results,EMPIRICAL,Phase2,HELDOUT_MECHANISM,results/phase2_confirmatory_v1/cvar_tail_diagnostics.csv,tail_condition;energy_separation,CVaR alpha=0.10,Mechanistic,SUPPORTED_WITH_SCOPE_LIMITS,SECOND_PASS_MACHINE_AUDIT,CVAR_PREEXISTS_APPLICATION,The CVaR tail satisfied the frozen separation checks.,CVaR violates a membership-query lower bound.,F7,additional_results
C-E6-SCALING,"Phase 3 provides heterogeneous, resource-censored scaling response rather than a confirmed global scaling law.",SCALING_RESPONSE,Scaling response,EMPIRICAL,Phase3,SCALING_RESPONSE_RESOURCE_CENSORED,results/phase3_scaling_v1/summary.json;results/phase3_scaling_v1/SCALING_LAW_REPORT.md,heldout_validation;resource_preflight,m<=20 complete; m=22 censored,No predecessor pooling,RESOURCE_CENSORED,SECOND_PASS_MACHINE_AUDIT,NOT_APPLICABLE,The extrapolation response reversed the earlier mean-versus-CVaR ordering at m=20.,A global dilution scaling law was confirmed.,F8;T5,additional_results
C-E6-BOTTLENECK,"Post-holdout decomposition suggests feasible entry, not conditional optimality, is the high-size bottleneck in completed trajectories.",MECHANISM,Scaling response,EMPIRICAL,Phase3,POST_HOLDOUT_DESCRIPTIVE,results/phase3_scaling_v1/optimality_scaling.csv,trajectory slopes,75 completed graph-objective trajectories,Descriptive after holdout,DESCRIPTIVE_ONLY,SECOND_PASS_MACHINE_AUDIT,NOT_APPLICABLE,Report as a descriptive mechanism hypothesis.,The bottleneck is universally proved.,F7;F8,additional_results
C-COST,"Structure-injected methods relocate burden among information, preprocessing, state preparation, mixers, richer queries and validation.",COST_RELOCATION,Cost relocation,BOTH,Theory-v3,COST_ACCOUNTING,docs/theory/STRUCTURE_COST_RELOCATION_CONTRACT.md,resource ledger,Orthogonal resources; missing costs remain unknown,Not a scalar runtime theorem,SUPPORTED_WITH_SCOPE_LIMITS,PASS_WITH_CLARIFICATION,LIKELY_REFORMULATION,Use the ledger to expose rather than erase structure costs.,A preserving mixer obtains structure for free.,F9;T6,artifact
C-LIM-NOADV,The evidence does not establish general quantum advantage.,LIMITATION,Limitations,BOTH,All,BOUNDARY,results/synthesis_v1/CLAIM_EVIDENCE_MATRIX.csv,scope synthesis,No classical end-to-end advantage test or hardware,Global,SUPPORTED,SECOND_PASS_MACHINE_AUDIT,NOT_APPLICABLE,No general quantum-advantage claim is made.,Quantum advantage is demonstrated.,,
C-LIM-MODELS,The theory and experiments use explicitly different information-access models.,LIMITATION,Limitations,BOTH,All,BOUNDARY,docs/theory/QAOA_INFORMATION_ACCESS_MODELS.md,model distinctions,Membership-only theory versus rich explicit energy in experiments,Global,SUPPORTED,SECOND_PASS_MACHINE_AUDIT,NOT_APPLICABLE,"The theory is a boundary and accounting lens, not a direct runtime lower bound for the experiments.",The black-box theorem directly proves empirical RCSP hardness.,F1,proofs
C-THEORY-VALIDATION,Theory-v1-v3 numerical checks found no violations in their enumerated finite validation cells.,MECHANISM,Artifact,THEORY,Theory-v1-v3,MECHANISTIC,results/theory_validation_v1/summary.json;results/theory_validation_v2/summary.json;results/theory_validation_v3/summary.json,numerical_validation,Finite enumerations are not proofs,Validation only,SUPPORTED_WITH_SCOPE_LIMITS,SECOND_PASS_MACHINE_AUDIT,NOT_APPLICABLE,Numerical checks support implementation integrity and found no violation.,Numerical checks prove the theorems.,,artifact
