claim_id,section,paragraph,wording,source,status,scope
C-E5-H2,sections/01_introduction.tex,5,"The strongest positive evidence comes from the preregistered held-out study: 84 tasks on 15 nonoverlapping base graphs. At the preregistered graph analysis unit, the O3-minus-O0 effect in logarithmic feasibility gain is +0.3547 decades, with one-sided 95\% lower bound +0.2374 and Holm-adjusted exact sign-flip p=2.4410^-4. Against the O2 capacity control, the effect is -0.0086 decades with lower bound -0.0360, above the preregistered non-inferiority margin of -0.10 decades. As secondary outcomes, O3 increases optimal-route probability on 80 of 84 tasks and increases both feasible and optimal-route probability on 79 of 84.",results/phase2_confirmatory_v1/confirmatory_statistics.json,SUPPORTED_WITH_SCOPE_LIMITS,O2 mechanistic ceiling
C-E5-POPT,sections/01_introduction.tex,5,"The strongest positive evidence comes from the preregistered held-out study: 84 tasks on 15 nonoverlapping base graphs. At the preregistered graph analysis unit, the O3-minus-O0 effect in logarithmic feasibility gain is +0.3547 decades, with one-sided 95\% lower bound +0.2374 and Holm-adjusted exact sign-flip p=2.4410^-4. Against the O2 capacity control, the effect is -0.0086 decades with lower bound -0.0360, above the preregistered non-inferiority margin of -0.10 decades. As secondary outcomes, O3 increases optimal-route probability on 80 of 84 tasks and increases both feasible and optimal-route probability on 79 of 84.",results/phase2_confirmatory_v1/summary.json;results/phase2_confirmatory_v1/task_level_contrasts.csv,SUPPORTED_WITH_SCOPE_LIMITS,Same held-out family
C-E6-SCALING,sections/01_introduction.tex,6,"The scaling result is deliberately negative. Development and interpolation suggest one objective ordering, but at m=20 the mean response exponents are 0.6150 for O0, 0.7885 for O2, and 1.2821 for O3: the O3--O0 ordering reverses. The prospective resource guard censors m=22 before optimization, so no m=22 QAOA outcome exists. These observations do not support a global scaling law. A descriptive post-holdout decomposition instead indicates that feasible-set entry, rather than selection among feasible routes, is the dominant bottleneck over the completed finite range.",results/phase3_scaling_v1/summary.json;results/phase3_scaling_v1/SCALING_LAW_REPORT.md,RESOURCE_CENSORED,No predecessor pooling
C-E6-BOTTLENECK,sections/01_introduction.tex,6,"The scaling result is deliberately negative. Development and interpolation suggest one objective ordering, but at m=20 the mean response exponents are 0.6150 for O0, 0.7885 for O2, and 1.2821 for O3: the O3--O0 ordering reverses. The prospective resource guard censors m=22 before optimization, so no m=22 QAOA outcome exists. These observations do not support a global scaling law. A descriptive post-holdout decomposition instead indicates that feasible-set entry, rather than selection among feasible routes, is the dominant bottleneck over the completed finite range.",results/phase3_scaling_v1/optimality_scaling.csv,DESCRIPTIVE_ONLY,Descriptive after holdout
C-T2,sections/01_introduction.tex,7,"Theory is used only to delimit that interpretation. Raw edge-bit feasible density is not intrinsic explicit-RCSP hardness; membership-only search has a dilution-dependent query barrier under its stated oracle model; and structural access or advice changes the information model while moving cost into preprocessing, state preparation, mixers, oracles, and related resources. The membership-only result does not lower-bound the rich-energy CVaR experiment. Its Grover/BBBV core is standard, and the exact novelty of the posterior/advice formulation remains subject to independent prior-art review.",docs/theory/ADAPTIVE_QUERY_DILUTION_THEOREM.md,SUPPORTED_WITH_SCOPE_LIMITS,Average random marked subsets
C-T5,sections/01_introduction.tex,7,"Theory is used only to delimit that interpretation. Raw edge-bit feasible density is not intrinsic explicit-RCSP hardness; membership-only search has a dilution-dependent query barrier under its stated oracle model; and structural access or advice changes the information model while moving cost into preprocessing, state preparation, mixers, oracles, and related resources. The membership-only result does not lower-bound the rich-energy CVaR experiment. Its Grover/BBBV core is standard, and the exact novelty of the posterior/advice formulation remains subject to independent prior-art review.",docs/theory/RAW_EDGE_BIT_DILUTION_COUNTEREXAMPLE.md,SUPPORTED,Impossibility of raw-density-only lower bound
C-T7,sections/01_introduction.tex,7,"Theory is used only to delimit that interpretation. Raw edge-bit feasible density is not intrinsic explicit-RCSP hardness; membership-only search has a dilution-dependent query barrier under its stated oracle model; and structural access or advice changes the information model while moving cost into preprocessing, state preparation, mixers, oracles, and related resources. The membership-only result does not lower-bound the rich-energy CVaR experiment. Its Grover/BBBV core is standard, and the exact novelty of the posterior/advice formulation remains subject to independent prior-art review.",docs/theory/EXPLICIT_ATTRIBUTE_QUERY_RCSP_BOUND.md,SUPPORTED_WITH_SCOPE_LIMITS,"Input-query complexity, not RAM time"
C-T8,sections/01_introduction.tex,7,"Theory is used only to delimit that interpretation. Raw edge-bit feasible density is not intrinsic explicit-RCSP hardness; membership-only search has a dilution-dependent query barrier under its stated oracle model; and structural access or advice changes the information model while moving cost into preprocessing, state preparation, mixers, oracles, and related resources. The membership-only result does not lower-bound the rich-energy CVaR experiment. Its Grover/BBBV core is standard, and the exact novelty of the posterior/advice formulation remains subject to independent prior-art review.",docs/theory/POSTERIOR_STRUCTURE_DILUTION_THEOREM.md,SUPPORTED_WITH_SCOPE_LIMITS,Uniform fixed-cardinality prior
C-T9,sections/01_introduction.tex,7,"Theory is used only to delimit that interpretation. Raw edge-bit feasible density is not intrinsic explicit-RCSP hardness; membership-only search has a dilution-dependent query barrier under its stated oracle model; and structural access or advice changes the information model while moving cost into preprocessing, state preparation, mixers, oracles, and related resources. The membership-only result does not lower-bound the rich-energy CVaR experiment. Its Grover/BBBV core is standard, and the exact novelty of the posterior/advice formulation remains subject to independent prior-art review.",docs/theory/ADVICE_QUERY_TRADEOFF.md,SUPPORTED_WITH_SCOPE_LIMITS,Classical advice only
C-COST,sections/01_introduction.tex,7,"Theory is used only to delimit that interpretation. Raw edge-bit feasible density is not intrinsic explicit-RCSP hardness; membership-only search has a dilution-dependent query barrier under its stated oracle model; and structural access or advice changes the information model while moving cost into preprocessing, state preparation, mixers, oracles, and related resources. The membership-only result does not lower-bound the rich-energy CVaR experiment. Its Grover/BBBV core is standard, and the exact novelty of the posterior/advice formulation remains subject to independent prior-art review.",docs/theory/STRUCTURE_COST_RELOCATION_CONTRACT.md,SUPPORTED_WITH_SCOPE_LIMITS,Not a scalar runtime theorem
C-E0-UNIVERSE,sections/02_problem.tex,1,"Let G=(V,E) be a directed graph with source s, target t, positive objective cost c_e, and nonnegative resource consumption r_e for every edge e E. For a directed s--t path P, the single-resource RCSP used in this study is equation _P\; C(P)=_e Pc_e subject to R(P)=_e Pr_e B, eq:rcsp equation where B is the resource budget. RCSP is a standard constrained-routing problem beasley1989rcsp; our controlled instances are synthetic layered directed acyclic graphs rather than road-network deployments.",results/phase0/summary.json;results/phase0_v2_dilution_stress/summary.json,SUPPORTED,Construction audit
C-E0-UNIVERSE,sections/03_methods.tex,1,"The task generator creates a singleton source layer, one or more internal layers, and a singleton target layer. Edges point forward by one or two layers, with a deterministic coverage set ensuring that every node participates in a source--target route. Additional edges are sampled without replacement until the prescribed edge count is reached. Edge costs are positive integers in [1,9] and edge resources are positive integers in [1,1000]. Generation is deterministic under a master seed. The v2 universe uses five base graphs at each target edge count m\7,10,13,16,19\.",results/phase0/summary.json;results/phase0_v2_dilution_stress/summary.json,SUPPORTED,Construction audit
C-E2-PILOT,sections/04_optimizer_attribution.tex,1,"The 56-task pilot completed all 504 planned optimized runs. Under the metricwise median across three seeds, median feasible probability was 5.0910^-3 at p=1, 5.9810^-3 at p=2, and 3.1910^-3 at p=3. Within each base graph, we regressed on D and summarized the resulting values across the ten graphs. Median was 0.542 at p=1, 0.412 at p=2, and -0.540 at p=3. Thus, although some circuits concentrated feasible mass well above the uniform baseline, the original depth-three fit appeared to lose compensation as feasibility became more dilute.",results/phase1_pilot_v1/pilot_summary.json,DESCRIPTIVE_ONLY,Exploratory
C-E3-OPT,sections/04_optimizer_attribution.tex,2,"We verified the identity independently at the state, probability, and objective levels for every p=2 task--seed state. All 168/168 checks had zero difference at stored numerical precision. This removes simulator ordering, parameter-layout, and global-phase ambiguity as explanations for the observed depth-three regression. It also supplies a deterministic continuation point for a matched optimizer test.",results/phase1_1_optimization_diagnostic/summary.json;results/phase1_1_optimization_diagnostic/nested_ansatz_identity.csv,SUPPORTED_WITH_SCOPE_LIMITS,Mechanistic
C-E3-OPT,sections/04_optimizer_attribution.tex,3,"The strongest direct comparison pairs independently initialized original p=3 states with continuation states for the same task and seed. The original state had lower mean energy in 108 of 168 comparisons. In 82 of those 108, it also had lower . Equivalently, 82 matched pairs occupy the lower-left quadrant of fig:objective-misalignmentA when differences are defined as original minus continuation. These are not optimizer failures by definition: each circuit was optimized for mean energy, and the lower-energy state better achieved that particular loss. They are evidence that mean penalty energy is not a monotone proxy for feasible probability.",results/phase1_1_optimization_diagnostic/summary.json;results/phase1_1_optimization_diagnostic/nested_ansatz_identity.csv,SUPPORTED_WITH_SCOPE_LIMITS,Mechanistic
C-E4-OBJDISC,sections/05_objective_alignment.tex,1,"O0 preserves the conventional variational objective E_[H_C] and reuses the matched 240-evaluation continuation cells from the optimizer diagnostic. On the 56 discovery tasks, its median was 0.02168 and median was 2.1161 decades. O0 is the deployment-oriented reference in the controlled statevector setting: it uses the complete energy distribution here, but on a device its expectation could in principle be sampled without exact feasibility aggregation.",results/phase1_2_objective_alignment/summary.json,SUPPORTED_WITH_SCOPE_LIMITS,No confirmatory pooling
C-E4-OBJDISC,sections/05_objective_alignment.tex,2,"The objective comparison is shown in fig:objective-discovery. O3 increased over O0 on 50/56 tasks and increased on 51/56. Its median O2-minus-O3 residual gap was 0.00690 decades, compared with the 0.21930-decade O2-minus-O0 capacity gap. Expressed per task before taking the median, O3 closed 97.9\% of that gap. Route-quality responses were heterogeneous: O3 improved, tied, or worsened on 27, 10, and 19 tasks. Thus the discovery evidence supported prospective testing of CVaR for feasible entry without licensing a universal route-quality claim.",results/phase1_2_objective_alignment/summary.json,SUPPORTED_WITH_SCOPE_LIMITS,No confirmatory pooling
C-E5-H1,sections/06_heldout_results.tex,1,"The held-out set consists of 84 tasks from 15 base graphs, with zero task and graph overlap with the 56-task discovery set. Every planned graph contributes all of its available dilution levels. The primary analysis unit is the base graph: for each objective, is first averaged over that graph's planned levels, and objective contrasts are then averaged over the 15 graph units. This avoids treating correlated budget variants of the same graph as independent replications.",results/phase2_confirmatory_v1/confirmatory_statistics.json,SUPPORTED_WITH_SCOPE_LIMITS,Penalty-X p=3 statevector
C-E5-H2,sections/06_heldout_results.tex,1,"The held-out set consists of 84 tasks from 15 base graphs, with zero task and graph overlap with the 56-task discovery set. Every planned graph contributes all of its available dilution levels. The primary analysis unit is the base graph: for each objective, is first averaged over that graph's planned levels, and objective contrasts are then averaged over the 15 graph units. This avoids treating correlated budget variants of the same graph as independent replications.",results/phase2_confirmatory_v1/confirmatory_statistics.json,SUPPORTED_WITH_SCOPE_LIMITS,O2 mechanistic ceiling
C-E5-H1,sections/06_heldout_results.tex,2,"The graph-level mean O3-minus-O0 effect was +0.3547 decades in . The grouped-bootstrap standard error was 0.0747, and the one-sided 95\% lower bound was +0.2374. The exact sign-flip raw p-value was 1.2210^-4 and the Holm-adjusted value was 2.4410^-4. The lower bound exceeds zero and the adjusted test satisfies the preregistered family criterion. Accordingly, in this held-out Penalty-X p=3 setting, CVaR optimization produced greater feasibility compensation than mean-energy optimization at the graph analysis unit.",results/phase2_confirmatory_v1/confirmatory_statistics.json,SUPPORTED_WITH_SCOPE_LIMITS,Penalty-X p=3 statevector
C-E5-H2,sections/06_heldout_results.tex,3,"The graph-level mean O3-minus-O2 contrast was -0.0086 decades. Its bootstrap standard error was 0.0167 and its one-sided lower bound was -0.0360, which is above the preregistered -0.10-decade non-inferiority margin. The shifted exact sign-flip raw p-value was 1.5310^-4; after Holm adjustment it was 2.4410^-4. The preregistered non-inferiority criterion was therefore satisfied.",results/phase2_confirmatory_v1/confirmatory_statistics.json,SUPPORTED_WITH_SCOPE_LIMITS,O2 mechanistic ceiling
C-E5-POPT,sections/06_heldout_results.tex,4,"The secondary route-quality analysis uses the exact decomposition in eq:decomposition. O3 increased relative to O0 on 80 of 84 held-out tasks, with four losses and no ties at the prespecified numerical tolerance. The paired median absolute difference was 0.0064. Both and increased on 79 of 84 tasks. Median was 0.3605 under O0 and 0.4077 under O3, while median conditional route cost was 14.93 and 14.83, respectively.",results/phase2_confirmatory_v1/summary.json;results/phase2_confirmatory_v1/task_level_contrasts.csv,SUPPORTED_WITH_SCOPE_LIMITS,Same held-out family
C-E5-TAIL,sections/06_heldout_results.tex,5,"Strict feasible/infeasible energy separation and the specified CVaR-tail consistency condition both held on 84/84 tasks. The final lowest-energy 10\% tail was fully feasible on 20/84 tasks; the other 64 necessarily included infeasible mass because <0.10. Median O3-minus-O0 gain was 0.0561 decades when the tail was fully feasible and 0.3865 when it was partial. This pattern is consistent with stronger feasible-entry pressure before the tail is filled, followed by a shift toward distinctions within the feasible class.",results/phase2_confirmatory_v1/cvar_tail_diagnostics.csv,SUPPORTED_WITH_SCOPE_LIMITS,Mechanistic
C-E6-SCALING,sections/07_scaling.tex,1,"The scaling study was designed before its QAOA outcomes were generated. It contains five base graphs at each edge-bit size m\12,14,16,18,20,22\ and six distinct feasible-route cardinalities per graph, for 180 tasks in total. Base indices 0--3 at m=12--18 form the development set; index 4 at those sizes forms an interpolation holdout; all five graphs at m=20,22 form the extrapolation holdout. Task generation, model candidates, model selection, resource guards, and objective comparisons were specified without using predecessor QAOA outcomes.",results/phase3_scaling_v1/summary.json;results/phase3_scaling_v1/SCALING_LAW_REPORT.md,RESOURCE_CENSORED,No predecessor pooling
C-E6-SCALING,sections/07_scaling.tex,2,"The prospective resource guard benchmarked fixed-parameter statevector kernels before optimization. At m=22, it predicted 520 MiB per worker and 2249.3 seconds for one full optimization, above the specified 1200-second guard. The entire m=22 size was therefore marked resource-censored before QAOA optimization. The 180 planned depth-two/depth-three cells remain visible in the denominator; they are neither scientific failures nor imputed outcomes.",results/phase3_scaling_v1/summary.json;results/phase3_scaling_v1/SCALING_LAW_REPORT.md,RESOURCE_CENSORED,No predecessor pooling
C-E6-BOTTLENECK,sections/07_scaling.tex,3,"After the held-out analysis was finalized, the completed scaling rows were decomposed using eq:decomposition. Across all 75 completed graph--objective trajectories (25 graphs times three objectives), the fitted slope of versus D was positive, while the median endpoint change in _10 was negative in every completed split/objective group. Median endpoint increases in ranged from 0.696 to 0.832 in absolute probability.",results/phase3_scaling_v1/optimality_scaling.csv,DESCRIPTIVE_ONLY,Descriptive after holdout
C-LIM-MODELS,sections/08_theory.tex,1,"The theory serves to delimit the empirical interpretation. The experiments expose a multilevel RCSP energy for every edge string; the search statements below instead assume specific oracle interfaces. They are not lower bounds on the empirical optimizer, rankings of O0--O3, or comparisons with classical RCSP solvers. Full proofs, boundary cases, and the expected-query treatment appear in app:theory. Their Grover/BBBV and multiple-marked-search core is standard bennett1997strengths,boyer1998tight,zalka1999optimal, hoyer2000arbitrary,brassard2002amplitude; no priority is claimed for it.",docs/theory/QAOA_INFORMATION_ACCESS_MODELS.md,SUPPORTED,Global
C-T5,sections/08_theory.tex,2,"theorem[Raw-density counterexample] For every m1, an explicit m-edge RCSP instance exists with =2^-m whose unique exact route can be read and output in O(m) time. thm:chain theorem",docs/theory/RAW_EDGE_BIT_DILUTION_COUNTEREXAMPLE.md,SUPPORTED,Impossibility of raw-density-only lower bound
C-T6,sections/08_theory.tex,2,"theorem[Raw-density counterexample] For every m1, an explicit m-edge RCSP instance exists with =2^-m whose unique exact route can be read and output in O(m) time. thm:chain theorem",docs/theory/REPRESENTATION_PADDING_LEMMA.md,SUPPORTED_WITH_SCOPE_LIMITS,Representation transformation
C-T1,sections/08_theory.tex,3,"Let be uniform over the size-M subsets of an N-label domain, with =M/N. Suppose the only -dependent operation is a counted binary membership query; all remaining initial states, controls, ancillas, and unitaries are independent of the unknown marked set.",docs/theory/GLOBAL_QAOA_DILUTION_THEOREM.md,SUPPORTED_WITH_SCOPE_LIMITS,Average over feasible subsets
C-T2,sections/08_theory.tex,3,"Let be uniform over the size-M subsets of an N-label domain, with =M/N. Suppose the only -dependent operation is a counted binary membership query; all remaining initial states, controls, ancillas, and unitaries are independent of the unknown marked set.",docs/theory/ADAPTIVE_QUERY_DILUTION_THEOREM.md,SUPPORTED_WITH_SCOPE_LIMITS,Average random marked subsets
C-T3,sections/08_theory.tex,3,"Let be uniform over the size-M subsets of an N-label domain, with =M/N. Suppose the only -dependent operation is a counted binary membership query; all remaining initial states, controls, ancillas, and unitaries are independent of the unknown marked set.",docs/theory/TRAINED_QAOA_TOTAL_QUERY_THEOREM.md,SUPPORTED_WITH_SCOPE_LIMITS,End-to-end query accounting
C-T4,sections/08_theory.tex,3,"Let be uniform over the size-M subsets of an N-label domain, with =M/N. Suppose the only -dependent operation is a counted binary membership query; all remaining initial states, controls, ancillas, and unitaries are independent of the unknown marked set.",docs/theory/ADAPTIVE_QUERY_DILUTION_THEOREM.md,SUPPORTED_WITH_SCOPE_LIMITS,Membership-only prior
C-T7,sections/08_theory.tex,4,"A parallel-branch RCSP subclass makes the counted domain explicit. There are K known two-edge branches and a length-K attribute array with exactly M feasible entries, accessed by equation O_z i,b= i,b z_i. eq:attribute-oracle equation",docs/theory/EXPLICIT_ATTRIBUTE_QUERY_RCSP_BOUND.md,SUPPORTED_WITH_SCOPE_LIMITS,"Input-query complexity, not RAM time"
C-T8,sections/08_theory.tex,5,"Advice changes the membership model in the same way. If side information S is produced before search, define equation _s=, _s=_s_, (S)=_S_S. eq:posterior equation",docs/theory/POSTERIOR_STRUCTURE_DILUTION_THEOREM.md,SUPPORTED_WITH_SCOPE_LIMITS,Uniform fixed-cardinality prior
C-T9,sections/08_theory.tex,5,"Advice changes the membership model in the same way. If side information S is produced before search, define equation _s=, _s=_s_, (S)=_S_S. eq:posterior equation",docs/theory/ADVICE_QUERY_TRADEOFF.md,SUPPORTED_WITH_SCOPE_LIMITS,Classical advice only
C-T11,sections/08_theory.tex,5,"Advice changes the membership model in the same way. If side information S is produced before search, define equation _s=, _s=_s_, (S)=_S_S. eq:posterior equation",docs/theory/EFFECTIVE_STRUCTURE_BITS.md,SUPPORTED_WITH_SCOPE_LIMITS,Necessary condition
C-COST,sections/08_theory.tex,6,"Warm starts, feasible-state loaders, path bases, structured mixers, and candidate restrictions may reduce full-space dilution, but they also alter support or inject instance-dependent information. Their evaluation must account separately for preprocessing, information storage, state preparation, mixer or oracle construction, sampling, validation, and reuse. These resources cannot be collapsed into b_eff without an implementation model.",docs/theory/STRUCTURE_COST_RELOCATION_CONTRACT.md,SUPPORTED_WITH_SCOPE_LIMITS,Not a scalar runtime theorem
C-T10,appendices/appendix_theory.tex,1,"For completeness, the audited extension covers one pre-search advice state, not a refreshed or interactive structure provider.",docs/theory/ADVICE_QUERY_TRADEOFF.md,SUPPORTED_WITH_SCOPE_LIMITS,No refreshed or interactive advice
R-NO-ADVANTAGE,EXCLUDED_FROM_MANUSCRIPT,,Quantum advantage is demonstrated.,results/synthesis_v1/CLAIM_EVIDENCE_MATRIX.csv,REJECTED_NOT_USED,Prohibited wording
R-NO-UNIVERSAL-RCSP,EXCLUDED_FROM_MANUSCRIPT,,Every explicit RCSP instance requires a raw-density query lower bound.,results/synthesis_v1/CLAIM_EVIDENCE_MATRIX.csv,REJECTED_NOT_USED,Prohibited wording
R-NO-GLOBAL-SCALING,EXCLUDED_FROM_MANUSCRIPT,,A global dilution scaling law was confirmed.,results/synthesis_v1/CLAIM_EVIDENCE_MATRIX.csv,REJECTED_NOT_USED,Prohibited wording
R-NO-CVAR-NOVELTY,EXCLUDED_FROM_MANUSCRIPT,,CVaR variational optimization is introduced here.,results/synthesis_v1/CLAIM_EVIDENCE_MATRIX.csv,REJECTED_NOT_USED,Prohibited wording
R-NO-FREE-STRUCTURE,EXCLUDED_FROM_MANUSCRIPT,,A feasibility-preserving mixer obtains structure for free.,results/synthesis_v1/CLAIM_EVIDENCE_MATRIX.csv,REJECTED_NOT_USED,Prohibited wording
R-NO-THEORY-PRIORITY,EXCLUDED_FROM_MANUSCRIPT,,The posterior-projector form is the first such theorem.,results/synthesis_v1/CLAIM_EVIDENCE_MATRIX.csv,REJECTED_NOT_USED,Prohibited wording
