run_id,task_id,graph_id,size_stratum,stress_level,m,dilution_score,feasibility_status,optimal_objective,frozen_optimal_objective,optimum_match,optimal_nodes,optimal_edge_indices,optimal_resource,solve_time_s_median,solve_time_s_min,solve_time_s_max,timing_repeats,labels_generated,labels_expanded,labels_dominance_pruned,labels_resource_pruned,labels_cycle_pruned,maximum_live_labels
b2-17ecff272b866f85d012,task-v2-ff6e67bbbcba,g-0780828b282bb310,S2,D1,10,3.010299956639812,FEASIBLE,12.0,12.0,True,"[0,1,3,5,7]","[0,3,6,8]",1934.0,4.2583e-05,3.9612e-05,7.104e-05,100,11,11,0,3,0,5
b2-1864ec3afdb22c44c2e9,task-v2-5d31ef4af595,g-bd62d2d752385cc7,S4,D4,16,4.214419939295737,FEASIBLE,13.0,13.0,True,"[0,1,8,9]","[0,6,15]",2065.0,7.2519e-05,7.188e-05,9.8021e-05,100,19,17,2,2,0,7
b2-1adef55641d0d00e6d3c,task-v2-c5ed7c8b71f4,g-a712031e7959d564,S3,D6,13,3.135238693248112,FEASIBLE,3.0,3.0,True,"[0,4,7]","[3,10]",1363.0,5.9323e-05,5.3152e-05,0.000121289,100,15,13,2,1,0,7
b2-1ce7cbd22962c674a3e1,task-v2-00b7b12999ba,g-28cd30a80498cca2,S4,D1,16,4.816479930623699,FEASIBLE,23.0,23.0,True,"[0,1,6,9]","[0,4,13]",1404.0,4.0289e-05,3.7775e-05,6.1275e-05,100,10,10,0,5,0,6
b2-1d649f4d35ec07044fe7,task-v2-9e1a55247e55,g-f6afb3a3727100d3,S4,D1,16,4.816479930623699,FEASIBLE,8.0,8.0,True,"[0,3,9]","[2,9]",663.0,4.264e-05,4.158e-05,0.000107412,100,11,10,1,6,0,5
b2-1ff2896394ff8a640201,task-v2-780e1209d403,g-e0c69f84d376b633,S5,D7,19,4.640388671568018,FEASIBLE,8.0,8.0,True,"[0,1,9,10]","[0,7,18]",632.0,0.000119766,0.000118449,0.00016219,100,30,25,5,0,0,12
b2-2294ba079415bb5ead59,task-v2-980575647e27,g-28cd30a80498cca2,S4,D5,16,4.11750992628768,FEASIBLE,14.0,14.0,True,"[0,2,7,9]","[1,7,14]",1896.0,7.1107e-05,6.5318e-05,0.000104045,100,18,17,1,2,0,7
b2-22cb80006a60c40f9d19,task-v2-59fd840ba77c,g-64377640089a831f,S3,D1,13,3.9133899436317554,FEASIBLE,15.0,15.0,True,"[0,3,6,7]","[2,9,12]",1378.0,4.7577e-05,4.6904e-05,7.4205e-05,100,12,12,0,6,0,8
b2-24a19c879a29d47c62d6,task-v2-0c6c4504c3d3,g-8a16a856f5377a40,S3,D5,13,3.2144199392957367,FEASIBLE,8.0,8.0,True,"[0,4,7]","[3,10]",1180.0,6.3091e-05,5.9311e-05,8.8422e-05,100,16,15,1,1,0,7
b2-268f987fe813e69cd44e,task-v2-f12c027474e2,g-f0c91af33253395a,S3,D4,13,3.311329952303793,FEASIBLE,7.0,7.0,True,"[0,4,7]","[3,10]",196.0,4.7449e-05,4.6746e-05,7.9199e-05,100,13,10,3,1,0,6
b2-2bc190101707a53fc90f,task-v2-10d8be977e09,g-e23fad4558949e26,S1,D2,7,1.806179973983887,FEASIBLE,12.0,12.0,True,"[0,2,3,5]","[1,3,5]",1392.0,3.0826e-05,3.0334e-05,5.5976e-05,100,8,8,0,1,0,4
b2-2c5c64df6edada36278f,task-v2-a2561503b5d0,g-bd62d2d752385cc7,S4,D2,16,4.515449934959718,FEASIBLE,13.0,13.0,True,"[0,1,8,9]","[0,6,15]",2065.0,5.8086e-05,5.4255e-05,8.2531e-05,100,15,14,1,5,0,7
b2-2c8d8ad24ba541a766c8,task-v2-c4754bf838d1,g-2fa0de1665fa7816,S4,D6,16,4.038328680240055,FEASIBLE,9.0,9.0,True,"[0,1,7,9]","[0,4,14]",1391.0,6.7715e-05,6.3199e-05,9.3452e-05,100,17,16,1,2,0,7
b2-316d4db8af69151fc50c,task-v2-4507b50770a7,g-686fdbb6f8f550f1,S2,D3,10,2.533178701920149,FEASIBLE,12.0,12.0,True,"[0,2,4,7]","[1,4,7]",743.0,4.6788e-05,4.554e-05,8.0849e-05,100,12,12,0,1,0,5
b2-334f79734eef516380b5,task-v2-0ae6410749b4,g-f0c91af33253395a,S3,D3,13,3.436268688912093,FEASIBLE,7.0,7.0,True,"[0,4,7]","[3,10]",196.0,3.6485e-05,3.5858e-05,5.9438e-05,100,9,9,0,4,0,5
b2-3399803af03db42490c6,task-v2-0da346e5ae20,g-8c950d2bd101a5de,S2,D3,10,2.533178701920149,FEASIBLE,16.0,16.0,True,"[0,1,6,7]","[0,3,9]",858.0,4.2293e-05,4.1834e-05,6.8777e-05,100,11,11,0,1,0,4
b2-37265cf269c2da2fd50d,task-v2-eb5609efbad0,g-f6afb3a3727100d3,S4,D2,16,4.515449934959718,FEASIBLE,8.0,8.0,True,"[0,3,9]","[2,9]",663.0,4.6052e-05,4.283e-05,8.5368e-05,100,12,11,1,5,0,5
b2-37b50e30df1ca465893f,task-v2-a9de39f81405,g-0780828b282bb310,S2,D2,10,2.709269960975831,FEASIBLE,12.0,12.0,True,"[0,1,3,5,7]","[0,3,6,8]",1934.0,4.5829e-05,4.262e-05,8.4302e-05,100,12,12,0,2,0,5
b2-396cee79eaf9f2bee129,task-v2-3f11ce371857,g-3ff7063ef9ea5cfb,S4,D1,16,4.816479930623699,FEASIBLE,16.0,16.0,True,"[0,1,3,9]","[0,2,10]",920.0,2.9472e-05,2.9077e-05,5.6351e-05,100,7,7,0,7,0,4
b2-39ff158c422d8c2d13df,task-v2-05a98ad7eaff,g-28cd30a80498cca2,S4,D7,16,3.9133899436317554,FEASIBLE,14.0,14.0,True,"[0,2,7,9]","[1,7,14]",1896.0,8.4792e-05,7.9107e-05,0.000114291,100,21,20,1,0,0,8
b2-3a76077dfacc23326398,task-v2-45bf90adfb6d,g-28cd30a80498cca2,S4,D4,16,4.214419939295737,FEASIBLE,18.0,18.0,True,"[0,2,4,7,9]","[1,6,9,14]",1879.0,6.6695e-05,6.0687e-05,0.000110626,100,17,16,1,3,0,7
b2-3c1302e35a1eda16500a,task-v2-aefa943bb0f9,g-2fa0de1665fa7816,S4,D7,16,3.9133899436317554,FEASIBLE,9.0,9.0,True,"[0,1,7,9]","[0,4,14]",1391.0,8.5153e-05,7.9648e-05,0.000121634,100,21,20,1,0,0,9
b2-3e7db98321eec0991e7e,task-v2-7133b996bac7,g-a87f1b9ac089cc45,S5,D3,19,5.24244866289598,FEASIBLE,5.0,5.0,True,"[0,2,9,10]","[1,7,18]",1017.0,6.1299e-05,5.709e-05,8.4942e-05,100,16,15,1,5,0,7
b2-3eb1069a375ad9401320,task-v2-356d367a6a2c,g-f0c91af33253395a,S3,D5,13,3.2144199392957367,FEASIBLE,7.0,7.0,True,"[0,4,7]","[3,10]",196.0,4.7224e-05,4.6611e-05,0.000106037,100,13,10,3,1,0,6
b2-417529f6fcf8c90eb16a,task-v2-87f0030ee4db,g-64377640089a831f,S3,D2,13,3.612359947967774,FEASIBLE,15.0,15.0,True,"[0,3,6,7]","[2,9,12]",1378.0,5.0958e-05,5.033e-05,8.702e-05,100,13,13,0,5,0,8
b2-450aa9272bfa6e5ec6dc,task-v2-9f1427c2fbd8,g-3ff7063ef9ea5cfb,S4,D5,16,4.038328680240055,FEASIBLE,8.0,8.0,True,"[0,2,8,9]","[1,8,15]",1570.0,7.8402e-05,7.3409e-05,0.000101837,100,20,19,1,3,0,9
b2-450c3d714128be9317f7,task-v2-df25fe0d6e36,g-8c950d2bd101a5de,S2,D2,10,2.709269960975831,FEASIBLE,16.0,16.0,True,"[0,1,6,7]","[0,3,9]",858.0,3.1544e-05,3.1005e-05,5.4687e-05,100,8,8,0,1,0,3
b2-4737dd6dd91dea9161af,task-v2-0ec069828687,g-b9a8415aa1799cc5,S5,D6,19,4.816479930623699,FEASIBLE,8.0,8.0,True,"[0,2,9,10]","[1,8,18]",1093.0,9.537e-05,9.37e-05,0.000132183,100,24,22,2,2,0,9
b2-47aeebb8cdd085c974fb,task-v2-f27d61c02d71,g-ad76642cd3b9f76c,S5,D2,19,5.418539921951662,FEASIBLE,16.0,16.0,True,"[0,3,6,10]","[2,7,15]",799.0,3.6733e-05,3.4433e-05,5.8982e-05,100,9,9,0,6,0,4
b2-4972bbffa9454d96399b,task-v2-b9e5059853ca,g-a529fbde22ed09f4,S1,D1,7,2.1072099696478683,FEASIBLE,9.0,9.0,True,"[0,3,5]","[2,5]",428.0,1.7056e-05,1.6803e-05,3.8487e-05,100,4,4,0,2,0,3
b2-49a45785fbf2a413e9f2,task-v2-7d4ec5aed494,g-a87f1b9ac089cc45,S5,D2,19,5.418539921951662,FEASIBLE,5.0,5.0,True,"[0,2,9,10]","[1,7,18]",1017.0,5.4359e-05,5.0774e-05,9.1337e-05,100,14,13,1,6,0,6
b2-4bccb44481c5896350d8,task-v2-26d674ac9727,g-28cd30a80498cca2,S4,D2,16,4.515449934959718,FEASIBLE,23.0,23.0,True,"[0,1,6,9]","[0,4,13]",1404.0,5.0278e-05,4.9603e-05,7.2241e-05,100,13,13,0,6,0,7
b2-4f485cf515afa0993b7c,task-v2-747868754e4a,g-f0c91af33253395a,S3,D6,13,3.135238693248112,FEASIBLE,7.0,7.0,True,"[0,4,7]","[3,10]",196.0,4.7022e-05,4.6434e-05,7.1302e-05,100,13,10,3,1,0,6
b2-5200897b50958938bdc9,task-v2-36c69f7819b3,g-28cd30a80498cca2,S4,D6,16,4.038328680240055,FEASIBLE,14.0,14.0,True,"[0,2,7,9]","[1,7,14]",1896.0,7.8857e-05,7.422e-05,0.000147941,100,20,19,1,1,0,8
b2-5256269c0d12ad50b433,task-v2-e243a3cd3e64,g-bd62d2d752385cc7,S4,D7,16,3.9133899436317554,FEASIBLE,13.0,13.0,True,"[0,1,8,9]","[0,6,15]",2065.0,8.2257e-05,8.1378e-05,0.000106475,100,21,19,2,0,0,7
b2-545823b0f06f13f6363c,task-v2-f1a738d52e35,g-60667963f6db3f1b,S2,D2,10,2.709269960975831,FEASIBLE,9.0,9.0,True,"[0,2,5,7]","[1,5,8]",1902.0,4.1426e-05,4.0862e-05,7.921e-05,100,11,10,1,1,0,5
b2-5548d71f20c694d2b715,task-v2-d7382a83ef13,g-548c8c6335dd2a2e,S1,D2,7,1.806179973983887,FEASIBLE,4.0,4.0,True,"[0,3,5]","[2,5]",926.0,2.963e-05,2.892e-05,5.2937e-05,100,8,7,1,0,0,4
b2-56873721e14ec7c99324,task-v2-6bb369c86974,g-4a80ed839b63ddd7,S5,D6,19,4.816479930623699,FEASIBLE,5.0,5.0,True,"[0,4,10]","[3,12]",1385.0,9.6882e-05,9.1919e-05,0.000126944,100,24,22,2,1,0,9
b2-56c6bde1f431d63f745a,task-v2-110f51ef504a,g-ad76642cd3b9f76c,S5,D7,19,4.640388671568018,FEASIBLE,10.0,10.0,True,"[0,1,6,9,10]","[0,4,14,18]",1652.0,0.00018814,0.000112215,0.000310095,100,28,25,3,0,0,10
b2-5976b1fb8c579740fb75,task-v2-d50991f4f8ba,g-2fa0de1665fa7816,S4,D2,16,4.515449934959718,FEASIBLE,15.0,15.0,True,"[0,1,3,9]","[0,2,9]",1327.0,3.5817e-05,3.3797e-05,5.8567e-05,100,9,9,0,5,0,4
b2-5b838175b75ef40fc054,task-v2-9bb6197d70f9,g-2fa0de1665fa7816,S4,D1,16,4.816479930623699,FEASIBLE,24.0,24.0,True,"[0,2,6,9]","[1,6,13]",1177.0,2.6081e-05,2.4305e-05,5.0662e-05,100,6,6,0,6,0,3
b2-5e3cfcb6582b011a64a0,task-v2-8ea177161d6a,g-4a80ed839b63ddd7,S5,D7,19,4.640388671568018,FEASIBLE,5.0,5.0,True,"[0,4,10]","[3,12]",1385.0,0.00010342,0.000102235,0.000134536,100,25,23,2,0,0,9
b2-5ee47904e558f0fc0f78,task-v2-5ae92cb9d249,g-4a80ed839b63ddd7,S5,D1,19,5.719569917615643,FEASIBLE,10.0,10.0,True,"[0,4,9,10]","[3,11,18]",885.0,3.9693e-05,3.9302e-05,6.3149e-05,100,10,10,0,9,0,6
b2-5ef873a25c77e7c67fb1,task-v2-8792ce3c54d5,g-a712031e7959d564,S3,D1,13,3.9133899436317554,FEASIBLE,10.0,10.0,True,"[0,1,7]","[0,5]",658.0,2.2064e-05,2.1737e-05,4.808e-05,100,5,5,0,4,0,3
b2-5f05b33e698ba46b9d9d,task-v2-8029d558b1a1,g-fc8e50acd167f0aa,S3,D6,13,3.135238693248112,FEASIBLE,12.0,12.0,True,"[0,1,7]","[0,6]",979.0,5.7941e-05,5.7141e-05,8.3693e-05,100,15,13,2,0,0,7
b2-5f9d57fdd03d069a9a66,task-v2-f6d986d24578,g-bd62d2d752385cc7,S4,D3,16,4.339358675904037,FEASIBLE,13.0,13.0,True,"[0,1,8,9]","[0,6,15]",2065.0,6.1247e-05,5.7386e-05,8.508e-05,100,16,15,1,4,0,7
b2-5fd5965201b46421bdb7,task-v2-30409dd5a775,g-686fdbb6f8f550f1,S2,D1,10,3.010299956639812,FEASIBLE,25.0,25.0,True,"[0,2,3,5,7]","[1,3,5,8]",272.0,2.0925e-05,2.0664e-05,4.3079e-05,100,5,5,0,2,0,2
b2-605a7c5cfebe275168ce,task-v2-6372d6a2314d,g-f6afb3a3727100d3,S4,D6,16,3.9133899436317554,FEASIBLE,8.0,8.0,True,"[0,3,9]","[2,9]",663.0,6.7577e-05,6.6694e-05,0.000117048,100,18,15,3,1,0,7
b2-643b8376cc4f426b6ce4,task-v2-8f4071cbe937,g-8a16a856f5377a40,S3,D2,13,3.612359947967774,FEASIBLE,16.0,16.0,True,"[0,2,5,7]","[1,6,11]",925.0,4.23e-05,4.1769e-05,6.3862e-05,100,11,11,0,5,0,5
b2-65fb9d1c7d45df9fb2cc,task-v2-9065c1a0a08c,g-a529fbde22ed09f4,S1,D2,7,1.806179973983887,FEASIBLE,9.0,9.0,True,"[0,3,5]","[2,5]",428.0,2.4588e-05,2.4137e-05,5.4831e-05,100,7,6,1,1,0,4
b2-66c537c503636ee731cd,task-v2-c95d7e1ff6e7,g-a87f1b9ac089cc45,S5,D6,19,4.816479930623699,FEASIBLE,5.0,5.0,True,"[0,2,9,10]","[1,7,18]",1017.0,9.4787e-05,9.2784e-05,0.000175205,100,24,21,3,1,0,9
b2-699e5822d9f853c62033,task-v2-835da0eb601e,g-64377640089a831f,S3,D3,13,3.436268688912093,FEASIBLE,15.0,15.0,True,"[0,3,6,7]","[2,9,12]",1378.0,5.517e-05,5.456e-05,7.791e-05,100,14,14,0,4,0,8
b2-69ddf5570cd53e053cfb,task-v2-e6a20043db41,g-f6afb3a3727100d3,S4,D4,16,4.214419939295737,FEASIBLE,8.0,8.0,True,"[0,3,9]","[2,9]",663.0,5.6789e-05,5.2483e-05,8.7278e-05,100,15,13,2,3,0,6
b2-6be33b40660eb9c627e5,task-v2-f4789f22d2c1,g-6aa6775bed3bc2cc,S2,D4,10,2.4082399653118496,FEASIBLE,13.0,13.0,True,"[0,1,3,7]","[0,2,6]",1327.0,4.4016e-05,4.3043e-05,7.0453e-05,100,12,10,2,0,0,5
b2-718eb4ab6079cbe3a9f6,task-v2-7eefc621bd20,g-64377640089a831f,S3,D6,13,3.135238693248112,FEASIBLE,15.0,15.0,True,"[0,3,6,7]","[2,9,12]",1378.0,6.9183e-05,6.8442e-05,0.000108582,100,17,17,0,1,0,8
b2-7345d3f47139ac12761f,task-v2-ef23e17da545,g-a712031e7959d564,S3,D3,13,3.436268688912093,FEASIBLE,10.0,10.0,True,"[0,1,7]","[0,5]",658.0,4.2218e-05,4.1595e-05,6.8904e-05,100,11,10,1,4,0,5
b2-7938ddd64555fdf21b65,task-v2-b0f919379fb8,g-0780828b282bb310,S2,D3,10,2.533178701920149,FEASIBLE,12.0,12.0,True,"[0,1,3,5,7]","[0,3,6,8]",1934.0,5.4558e-05,5.3581e-05,8.8033e-05,100,14,14,0,1,0,5
b2-79cd1d11a49255ee9cee,task-v2-404bfd76cc2e,g-64377640089a831f,S3,D4,13,3.311329952303793,FEASIBLE,15.0,15.0,True,"[0,3,6,7]","[2,9,12]",1378.0,5.9691e-05,5.8811e-05,8.2901e-05,100,15,15,0,3,0,8
b2-7ae6af5fab922d5df695,task-v2-147f90045792,g-fc8e50acd167f0aa,S3,D7,13,3.0682919036174985,FEASIBLE,12.0,12.0,True,"[0,1,7]","[0,6]",979.0,5.7355e-05,5.6531e-05,8.4422e-05,100,15,13,2,0,0,7
b2-7d57ab4822267a1925ce,task-v2-ce7fc44fc7b5,g-548c8c6335dd2a2e,S1,D3,7,1.630088714928206,FEASIBLE,4.0,4.0,True,"[0,3,5]","[2,5]",926.0,2.9604e-05,2.9144e-05,5.9489e-05,100,8,7,1,0,0,4
b2-7ed03acd4822c85b3ebf,task-v2-11173062a501,g-a87f1b9ac089cc45,S5,D5,19,4.941418667231999,FEASIBLE,5.0,5.0,True,"[0,2,9,10]","[1,7,18]",1017.0,8.4871e-05,8.3616e-05,0.000112943,100,22,19,3,2,0,9
b2-80c3428349175fe5495a,task-v2-cfa564be8207,g-fc8e50acd167f0aa,S3,D3,13,3.436268688912093,FEASIBLE,13.0,13.0,True,"[0,1,4,7]","[0,5,10]",950.0,4.3054e-05,4.2569e-05,6.8558e-05,100,11,11,0,4,0,6
b2-80d4d6bf53d5f8cb46f8,task-v2-dcffea5b9a3e,g-4a80ed839b63ddd7,S5,D2,19,5.418539921951662,FEASIBLE,10.0,10.0,True,"[0,4,9,10]","[3,11,18]",885.0,5.1876e-05,5.1153e-05,8.5812e-05,100,13,13,0,8,0,6
b2-81264377f2eb1de1affb,task-v2-0880cdc8b47d,g-b9a8415aa1799cc5,S5,D1,19,5.719569917615643,FEASIBLE,12.0,12.0,True,"[0,3,9,10]","[2,10,18]",454.0,2.9978e-05,2.9608e-05,5.2897e-05,100,7,7,0,6,0,3
b2-86921a908cd1a498b925,task-v2-73f419868dc6,g-553bb3c5ba0f2136,S1,D3,7,1.630088714928206,FEASIBLE,8.0,8.0,True,"[0,4,5]","[2,6]",1393.0,3.4858e-05,3.4341e-05,5.9101e-05,100,9,9,0,0,0,4
b2-86ef0bf84eaa24c95d52,task-v2-420d9636beee,g-e0c69f84d376b633,S5,D1,19,5.719569917615643,FEASIBLE,11.0,11.0,True,"[0,1,4,10]","[0,5,13]",414.0,3.333e-05,3.2908e-05,7.4815e-05,100,8,8,0,9,0,4
b2-87715d8c3963eeff88e4,task-v2-8ac52cd83f67,g-b9a8415aa1799cc5,S5,D2,19,5.418539921951662,FEASIBLE,12.0,12.0,True,"[0,3,9,10]","[2,10,18]",454.0,3.7705e-05,3.7107e-05,5.7811e-05,100,9,9,0,5,0,4
b2-878cc97a1c363b0741b8,task-v2-a4fc95665697,g-e23fad4558949e26,S1,D3,7,1.630088714928206,FEASIBLE,10.0,10.0,True,"[0,2,4,5]","[1,4,6]",2021.0,3.4189e-05,3.184e-05,5.8748e-05,100,9,9,0,0,0,4
b2-89b2dd9164ed544b3622,task-v2-f5c9b9bdeb27,g-a87f1b9ac089cc45,S5,D7,19,4.719569917615643,FEASIBLE,5.0,5.0,True,"[0,2,9,10]","[1,7,18]",1017.0,0.000100875,9.7736e-05,0.000233498,100,25,22,3,0,0,9
b2-8bb2ef197c36877e0c70,task-v2-5de325b6f026,g-8a16a856f5377a40,S3,D3,13,3.436268688912093,FEASIBLE,16.0,16.0,True,"[0,2,5,7]","[1,6,11]",925.0,4.713e-05,4.4045e-05,7.4947e-05,100,12,12,0,4,0,5
b2-8bd3c750c4fd257354a7,task-v2-59a464f36e13,g-bd62d2d752385cc7,S4,D1,16,4.816479930623699,FEASIBLE,19.0,19.0,True,"[0,5,8,9]","[2,12,15]",1327.0,2.9104e-05,2.7202e-05,4.6225e-05,100,7,7,0,6,0,4
b2-9009e219a55d76bb5286,task-v2-7a2c20a84cd2,g-2fa0de1665fa7816,S4,D5,16,4.11750992628768,FEASIBLE,9.0,9.0,True,"[0,1,7,9]","[0,4,14]",1391.0,6.3498e-05,6.2799e-05,8.6887e-05,100,16,16,0,3,0,7
b2-933d2cf9a1924f0224ce,task-v2-4e78b3f98433,g-553bb3c5ba0f2136,S1,D1,7,2.1072099696478683,FEASIBLE,12.0,12.0,True,"[0,2,4,5]","[1,4,6]",901.0,2.3781e-05,2.3547e-05,4.651e-05,100,6,6,0,2,0,4
b2-95d8398052aaa022d7da,task-v2-6e79cb6720c5,g-e0c69f84d376b633,S5,D3,19,5.24244866289598,FEASIBLE,11.0,11.0,True,"[0,1,4,10]","[0,5,13]",414.0,6.3775e-05,5.9551e-05,9.5602e-05,100,16,15,1,9,0,7
b2-963b6072769dd2c12bc8,task-v2-6996479d6302,g-60667963f6db3f1b,S2,D4,10,2.4082399653118496,FEASIBLE,9.0,9.0,True,"[0,2,5,7]","[1,5,8]",1902.0,4.487e-05,4.4321e-05,7.0237e-05,100,12,11,1,0,0,5
b2-96d7f181a677f7d072d2,task-v2-eed472030dc4,g-686fdbb6f8f550f1,S2,D2,10,2.709269960975831,FEASIBLE,12.0,12.0,True,"[0,2,4,7]","[1,4,7]",743.0,3.1023e-05,2.8932e-05,5.7099e-05,100,8,8,0,2,0,4
b2-974f026ed36e8bcfc484,task-v2-607a9c50d675,g-fc8e50acd167f0aa,S3,D2,13,3.612359947967774,FEASIBLE,14.0,14.0,True,"[0,6,7]","[4,12]",680.0,3.6008e-05,3.3888e-05,6.2537e-05,100,9,9,0,5,0,6
b2-977f3266b9cb39c9a034,task-v2-095187356858,g-3ff7063ef9ea5cfb,S4,D2,16,4.515449934959718,FEASIBLE,16.0,16.0,True,"[0,1,3,9]","[0,2,10]",920.0,4.3739e-05,4.3181e-05,6.4031e-05,100,11,11,0,6,0,4
b2-97c1e4876b3ae58554e1,task-v2-a0f813383468,g-60667963f6db3f1b,S2,D3,10,2.533178701920149,FEASIBLE,9.0,9.0,True,"[0,2,5,7]","[1,5,8]",1902.0,4.4765e-05,4.4022e-05,6.79e-05,100,12,11,1,0,0,5
b2-9846e8742eaaa71a9c8a,task-v2-004cf44adcd0,g-4a80ed839b63ddd7,S5,D3,19,5.24244866289598,FEASIBLE,10.0,10.0,True,"[0,4,9,10]","[3,11,18]",885.0,5.5641e-05,5.4864e-05,7.9677e-05,100,14,14,0,7,0,6
b2-9967df4fb47e24660e17,task-v2-59e59ed3c03f,g-686fdbb6f8f550f1,S2,D4,10,2.4082399653118496,FEASIBLE,12.0,12.0,True,"[0,2,4,7]","[1,4,7]",743.0,4.8893e-05,4.5217e-05,7.7275e-05,100,13,12,1,0,0,5
b2-9e98ea05e4a5ba29cdff,task-v2-51e0b98b7ef5,g-2fa0de1665fa7816,S4,D3,16,4.339358675904037,FEASIBLE,9.0,9.0,True,"[0,1,7,9]","[0,4,14]",1391.0,4.3919e-05,4.3517e-05,6.69e-05,100,11,11,0,4,0,5
b2-9e9ec56446bab2d9c4ce,task-v2-8d2ef8b298b4,g-c45ecbe0242c6377,S1,D3,7,1.630088714928206,FEASIBLE,15.0,15.0,True,"[0,3,5]","[2,5]",1302.0,2.9916e-05,2.9259e-05,0.000108783,100,8,7,1,0,0,4
b2-a0ea2cd21f5d9832a637,task-v2-5acbf653f95a,g-a712031e7959d564,S3,D2,13,3.612359947967774,FEASIBLE,10.0,10.0,True,"[0,1,7]","[0,5]",658.0,3.498e-05,3.4304e-05,6.879e-05,100,9,8,1,5,0,4
b2-a2212ebf5cbac20e995e,task-v2-5b5a3995de2b,g-bd62d2d752385cc7,S4,D5,16,4.11750992628768,FEASIBLE,13.0,13.0,True,"[0,1,8,9]","[0,6,15]",2065.0,7.7076e-05,7.2199e-05,0.000100967,100,20,18,2,1,0,7
