claim_id,candidate_wording,claim_class,evidence_stage,inference_tier,source_files,scope,status,allowed_wording,prohibited_wording
C-T11,"b_eff and K_eff express necessary posterior support compression, not sufficient implementation cost.",COROLLARY,Theory-v3,FORMAL_THEORY,docs/theory/EFFECTIVE_STRUCTURE_BITS.md,Necessary condition,SUPPORTED_WITH_SCOPE_LIMITS,Effective bits summarize posterior concentration.,Effective bits are runtime or a conservation law.
C-E0-UNIVERSE,The corrected task universe removes duplicate feasible-set levels while retaining a broad controlled dilution range.,MECHANISM,Phase0/0v2,DESCRIPTIVE,results/phase0/summary.json;results/phase0_v2_dilution_stress/summary.json,Construction audit,SUPPORTED,"V2 has 140 tasks, no duplicated feasible sets and the reported phi range.",The task universe represents natural RCSP prevalence.
C-E1-SCALE,The scale-controlled Hamiltonian contract preserves all task ground states and reduces within-graph scale drift.,MECHANISM,Phase0v2,MECHANISTIC,results/phase0_v2_dilution_stress/HAMILTONIAN_SCALE_AUDIT.md;results/phase0_v2_dilution_stress/hamiltonian_scale_audit.csv,140 tasks,SUPPORTED,All 140 controlled ground states are correct under the frozen contract.,Scale control removes every confound.
C-E2-PILOT,The initial Penalty-X depth pilot showed partial compensation and a p=3 anomaly.,EMPIRICAL_DISCOVERY,Phase1 pilot,EXPLORATORY,results/phase1_pilot_v1/pilot_summary.json,Exploratory,DESCRIPTIVE_ONLY,The pilot motivated optimizer attribution.,Depth three is intrinsically worse.
C-E3-OPT,"Continuation diagnostics attribute much of the original p=3 anomaly to optimization failure, while objective and feasibility remain misaligned.",MECHANISM,Phase1.1,MECHANISTIC,results/phase1_1_optimization_diagnostic/summary.json;results/phase1_1_optimization_diagnostic/nested_ansatz_identity.csv,Mechanistic,SUPPORTED_WITH_SCOPE_LIMITS,Continuation repaired the identified original failure set; lower energy did not uniformly mean higher feasibility.,Classical optimization explains all dilution.
C-E4-OBJDISC,Exploratory objective attribution identified an O2 capacity gap and selected O3 CVaR for held-out testing.,EMPIRICAL_DISCOVERY,Phase1.2,EXPLORATORY,results/phase1_2_objective_alignment/summary.json,No confirmatory pooling,SUPPORTED_WITH_SCOPE_LIMITS,O2 is a mechanistic ceiling; O3 nearly closed its discovery gap.,CVaR was invented here or O2 is deployable.
C-E5-H1,"On preregistered held-out graphs, O3 CVaR improved dilution compensation over O0 mean-energy optimization.",HELDOUT_CONFIRMATION,Phase2,PREREGISTERED_HELDOUT,results/phase2_confirmatory_v1/confirmatory_statistics.json,Penalty-X p=3 statevector,SUPPORTED_WITH_SCOPE_LIMITS,Graph-level mean improvement was 0.3547 decades with preregistered inference.,CVaR generally beats QAOA objectives.
C-E5-H2,Held-out O3 CVaR was noninferior to the exact-feasibility O2 capacity objective at the preregistered margin.,HELDOUT_CONFIRMATION,Phase2,PREREGISTERED_HELDOUT,results/phase2_confirmatory_v1/confirmatory_statistics.json,O2 mechanistic ceiling,SUPPORTED_WITH_SCOPE_LIMITS,The lower confidence bound exceeded the preregistered noninferiority margin.,O3 is equivalent to O2 for all tasks.
C-E5-POPT,Held-out CVaR gains in feasible entry generally did not sacrifice optimal-route concentration.,MECHANISM,Phase2,HELDOUT_SECONDARY,results/phase2_confirmatory_v1/summary.json;results/phase2_confirmatory_v1/task_level_contrasts.csv,Same held-out family,SUPPORTED_WITH_SCOPE_LIMITS,O3 increased both P_feas and P_opt on 79 of 84 held-out tasks.,CVaR always improves route quality.
C-E5-TAIL,Held-out tail audits support the mechanism that CVaR used energy information beyond binary membership.,MECHANISM,Phase2,HELDOUT_MECHANISM,results/phase2_confirmatory_v1/cvar_tail_diagnostics.csv,Mechanistic,SUPPORTED_WITH_SCOPE_LIMITS,The CVaR tail satisfied the frozen separation checks.,CVaR violates a membership-query lower bound.
C-E6-SCALING,"Phase 3 provides heterogeneous, resource-censored scaling response rather than a confirmed global scaling law.",SCALING_RESPONSE,Phase3,SCALING_RESPONSE_RESOURCE_CENSORED,results/phase3_scaling_v1/summary.json;results/phase3_scaling_v1/SCALING_LAW_REPORT.md,No predecessor pooling,RESOURCE_CENSORED,The extrapolation response reversed the earlier mean-versus-CVaR ordering at m=20.,A global dilution scaling law was confirmed.
C-E6-BOTTLENECK,"Post-holdout decomposition suggests feasible entry, not conditional optimality, is the high-size bottleneck in completed trajectories.",MECHANISM,Phase3,POST_HOLDOUT_DESCRIPTIVE,results/phase3_scaling_v1/optimality_scaling.csv,Descriptive after holdout,DESCRIPTIVE_ONLY,Report as a descriptive mechanism hypothesis.,The bottleneck is universally proved.
C-COST,"Structure-injected methods relocate burden among information, preprocessing, state preparation, mixers, richer queries and validation.",COST_RELOCATION,Theory-v3,COST_ACCOUNTING,docs/theory/STRUCTURE_COST_RELOCATION_CONTRACT.md,Not a scalar runtime theorem,SUPPORTED_WITH_SCOPE_LIMITS,Use the ledger to expose rather than erase structure costs.,A preserving mixer obtains structure for free.
C-LIM-NOADV,The evidence does not establish general quantum advantage.,LIMITATION,All,BOUNDARY,results/synthesis_v1/CLAIM_EVIDENCE_MATRIX.csv,Global,SUPPORTED,No general quantum-advantage claim is made.,Quantum advantage is demonstrated.
C-LIM-MODELS,The theory and experiments use explicitly different information-access models.,LIMITATION,All,BOUNDARY,docs/theory/QAOA_INFORMATION_ACCESS_MODELS.md,Global,SUPPORTED,"The theory is a boundary and accounting lens, not a direct runtime lower bound for the experiments.",The black-box theorem directly proves empirical RCSP hardness.
C-THEORY-VALIDATION,Theory-v1-v3 numerical checks found no violations in their enumerated finite validation cells.,MECHANISM,Theory-v1-v3,MECHANISTIC,results/theory_validation_v1/summary.json;results/theory_validation_v2/summary.json;results/theory_validation_v3/summary.json,Validation only,SUPPORTED_WITH_SCOPE_LIMITS,Numerical checks support implementation integrity and found no violation.,Numerical checks prove the theorems.
